Lambda,S,P,Error,Expected
0.01,0.010000000000000005,0.9686078550716837,0.00010053122783440511,0.960497504375
0.26,0.2600000000000001,0.2719461778201121,0.001171579378479266,0.25605927
0.51,0.5100000000000002,-0.04840023601902063,0.001275628562837259,-0.04152974562500002
0.76,0.7600000000000001,-0.08543015948004966,0.0016508488639545332,-0.10348048000000012
1.01,1.01,-0.026718562110946455,0.0018940452420046874,-0.05998824562500007
1.26,1.2599999999999993,0.014628222183607886,0.0015887081249223594,-0.00023273000000000475
1.51,1.5099999999999993,0.043065864990948485,0.0018705782113596623,0.02762200437499997
1.76,1.7600000000000005,0.03284016188196825,0.0020421190183371805,0.016427519999999994
2.01,2.0100000000000002,0.009575434823452314,0.0016711112509358713,0.0
2.26,2.26,-0.008216276090112384,0.002466539685190502,0.0
2.51,2.5100000000000002,-0.012303375201547102,0.001810175585956619,0.0
2.76,2.759999999999999,-0.016810676336835948,0.0022885653939162384,0.0
3.01,3.0100000000000007,-0.00272253791750505,0.002647038236899876,0.0
3.26,3.259999999999999,-0.02703223444531086,0.002495834734083364,0.0
3.51,3.51,-0.02697414477764679,0.0023252503867297104,0.0
3.76,3.760000000000001,-0.035875754865458485,0.002395192674442301,0.0
4.01,4.009999999999999,-0.03411190216670299,0.002488004270711831,0.0
4.26,4.260000000000001,-0.04785797372518218,0.0023194582361949546,0.0
4.51,4.509999999999999,-0.04238125203035797,0.002426577841822298,0.0
4.76,4.759999999999998,-0.0407854196452205,0.0022987572416293097,0.0
