Lambda,S,P,Error,Expected
0.01,0.007270574207763309,0.9986023992715892,4.83143809140145e-06,0.9975
0.26,0.16447997164476816,0.9644747618528612,9.397115549169794e-05,0.935
0.51,0.3401542350514372,0.9225703705513574,0.00018820360312339998,0.8725
0.76,0.5288254837270526,0.879420039805478,0.0003233000104709904,0.81
1.01,0.7582339302674785,0.8227143769109965,0.0005004891744283462,0.7475
1.26,0.8556243275168118,0.7964420981717529,0.0005942957032872207,0.685
1.51,1.0975649461758825,0.7236635422109066,0.0012462411326717151,0.6225
1.76,1.220069601541929,0.6770835579827094,0.0010448497394388982,0.56
2.01,1.3077425418817081,0.6679920626216863,0.0010509574411907922,0.49751243781094534
2.26,1.4177431397247602,0.6388049661903561,0.0011769897023976553,0.4424778761061947
2.51,1.6210765502640339,0.5790506908348371,0.00156113583832123,0.39840637450199207
2.76,1.93811492622014,0.4899238256547919,0.001369295728386842,0.3623188405797102
3.01,2.0955589854055283,0.4711468153115095,0.0013881702518971331,0.33222591362126247
3.26,2.089082291730208,0.4979956848197418,0.0015567907623747726,0.3067484662576687
3.51,2.5267625235081836,0.4081408038921945,0.0014124990164312064,0.2849002849002849
3.76,2.67241581556933,0.4126159759234697,0.0013287697173799734,0.26595744680851063
4.01,2.7739445316407743,0.3989355664829594,0.0016743656273927917,0.24937655860349128
4.26,2.8647622211493338,0.40355715212708615,0.0014814539957942205,0.2347417840375587
4.51,3.0843276759598557,0.36514729363504034,0.0013953768672108795,0.22172949002217296
4.76,3.4524069530615447,0.32795073120488677,0.0014561831683352997,0.21008403361344538
